id,year,doi,publisher,decision,reason,area,raw
86,2025,10.1016/j.compbiomed.2024.109522,Elsevier,include,,Laboratory,"Rahman S, Udhayakumar R, Kaplan D, McCarthy B, Dawood T, Mellor N, et al. Photoplethysmography as a noninvasive surrogate for microneurography in measuring stress-induced sympathetic nervous activation — A machine learning approach. Comput Biol Med 2025;185:109522. https://doi.org/10.1016/j.compbiomed.2024.109522."
87,2025,10.1007/s44163-025-00412-8,Springer,include,,Laboratory,"Modi N, Kumar Y, Mehta K, Chaplot N. Physiological signal-based mental stress detection using hybrid deep learning models. Discov Artif Intell 2025;5:166. https://doi.org/10.1007/s44163-025-00412-8."
88,2025,10.1016/j.smhl.2025.100582,Elsevier,exclude,E3,,"Pervez K, Izhar M, Ahmed A, Alturki N, Abdullah S. Smart implantable devices for cardiac health: A novel self-powered wireless ECG monitoring system using energy harvesting and machine learning-driven anomaly detection. Smart Health 2025;37:100582. https://doi.org/10.1016/j.smhl.2025.100582."
89,2026,10.1038/s41598-026-39904-7,Springer Nature,exclude,E3,,"Xiong Q, Gui L, Shu C. Support vector machine algorithm-based wearable device in sports rehabilitation training for people with disabilities. Sci Rep 2026;16:9317. https://doi.org/10.1038/s41598-026-39904-7."
90,2025,10.1016/j.neucom.2025.130911,Elsevier,exclude,E3,,"Ciortuz G, Hozhabr Pour H, Irshad MT, Nisar MA, Huang X, Fudickar S. Machine learning models for wearable-based human activity recognition: A comparative study. Neurocomputing 2025;650:130911. https://doi.org/10.1016/j.neucom.2025.130911."
91,2026,10.1016/j.bspc.2026.109934,Elsevier,include,,Benchmark,"Jui SJJ, Deo RC, Acharya R, Barua PD, Soar J, Devi A. Explainable stress detection system using hybrid CNN-Transformer and uncertainty quantification with copula GAN-based data. Biomed Signal Process Control 2026;120:109934. https://doi.org/10.1016/j.bspc.2026.109934."
92,2026,10.1038/s41378-025-01107-x,Springer Nature,exclude,E3,,"Lei H, Xie L, Qin X, Sun G, Huang P, Wang W, et al. Optimized stress transfer interfaces enabled wearable nano-electronics for fatigue driving monitoring. Microsyst Nanoeng 2026;12:94. https://doi.org/10.1038/s41378-025-01107-x."
93,2025,10.1038/s41528-025-00469-6,Springer Nature,exclude,E3,,"Chen X, Wang C, Wei W, Liu Y, Ge SS, Zhou L, et al. Flexible and sensitive pressure sensor with enhanced breathability for advanced wearable health monitoring. Npj Flex Electron 2025;9:101. https://doi.org/10.1038/s41528-025-00469-6."
94,2025,10.1038/s41467-025-57629-5,Springer Nature,exclude,E3,,"Liu T, Zhang M, Li Z, Dou H, Zhang W, Yang J, et al. Machine learning-assisted wearable sensing systems for speech recognition and interaction. Nat Commun 2025;16:2363. https://doi.org/10.1038/s41467-025-57629-5."
95,2025,10.1016/j.compbiomed.2025.110452,Elsevier,exclude,E3,,"Lee S, Park U, Yun S, Park G, Cho SP, Kim KM, et al. Patch-type wearable electrocardiography and impedance pneumography for sleep staging: A multi-modal deep learning approach. Comput Biol Med 2025;195:110452. https://doi.org/10.1016/j.compbiomed.2025.110452."
